UNITID,EFRES01,EFRES02 
100858,3,3
100858,191,188
100858,500,496
100858,1,1
100858,37,37
100858,6,6
100858,2,2
100858,3,3
100858,21,21
100858,14,14
100858,39,39
100858,12,12
100858,6,6
100858,7,7
100858,8,8
100858,8,8
100858,1,1
100858,1,1
100858,1,1
100858,22,22
100858,1,1
100858,17,17
100858,40,40
100858,24,24
100858,1,1
100858,1,1
100858,21,20
100858,3,3
100858,31,31
100858,116,116
100858,96,95
100858,1,1
100858,3,3
100858,53,53
100858,4,4
100858,1,1
100858,9,9
100858,4,3
100858,3700,3686
100858,26,18
100858,3726,3704
101028,294,211
101028,122,94
101028,1,1
101028,1,0
101028,1,0
101028,1,1
101028,1,0
101028,421,307
101028,421,307
101073,71,60
101073,3,3
101073,17,13
101073,27,20
101073,5,4
101073,7,7
101073,10,10
101073,1,1
101073,3,0
101073,144,118
101073,3,3
101073,3,3
101073,2,
101073,149,121
101116,43,24
101116,43,24
101116,43,24
101143,383,266
101143,13,10
101143,7,7
101143,2,2
101143,1,1
101143,8,6
101143,414,292
101143,414,292
101161,1231,903
101161,3,2
101161,1,1
101161,1,0
101161,12,10
101161,8,7
101161,1,1
101161,1,1
101161,2,2
101161,1,1
101161,1,1
101161,1,1
101161,1,1
101161,1,1
101161,1,1
101161,1,1
101161,1,1
101161,20,15
101161,1288,950
101161,1288,950
101189,200,164
101189,1,1
101189,1,1
101189,18,17
101189,30,28
101189,4,4
101189,1,1
101189,5,5
101189,1,1
101189,2,2
101189,3,3
101189,3,3
101189,15,15
101189,4,3
101189,1,1
101189,289,249
101189,9,3
101189,298,252
101240,1244,809
101240,1,0
101240,1,1
101240,5,4
101240,1,1
101240,1,0
101240,1,1
101240,1,0
101240,1,1
101240,1,1
101240,107,62
101240,1364,880
101240,24,0
101240,1388,880
101286,968,656
101286,1,0
101286,12,7
101286,19,9
101286,1,1
101286,1,0
101286,1,0
101286,1,0
101286,39,36
101286,1043,709
101286,1,0
101286,1,0
101286,1044,709
101295,1165,838
101295,2,1
101295,6,6
101295,11,11
101295,1,1
101295,1,1
101295,1,1
101295,1,1
101295,1,1
101295,1,0
101295,2,2
101295,1,1
101295,1,0
101295,1194,864
101295,1194,864
101301,390,285
101301,13,10
101301,1,1
101301,3,3
101301,1,1
101301,408,300
101301,408,300
101435,189,183
101435,2,2
101435,32,30
101435,23,23
101435,1,1
101435,2,2
101435,1,1
101435,1,0
101435,1,1
101435,1,1
101435,4,4
101435,2,2
101435,1,1
101435,260,251
101435,1,1
101435,261,252
101462,202,81
101462,1,1
101462,1,0
101462,4,0
101462,1,1
101462,1,1
101462,3,0
101462,213,84
101462,213,84
101471,283,26
101471,1,0
101471,284,26
101471,284,26
101480,875,840
101480,1,0
101480,11,9
101480,239,237
101480,4,4
101480,2,2
101480,3,3
101480,2,2
101480,1,1
101480,3,3
101480,1,1
101480,4,4
101480,3,3
101480,2,2
101480,1151,1111
101480,7,5
101480,1158,1116
101499,261,163
101499,24,17
101499,1,1
101499,1,1
101499,12,7
101499,299,189
101499,299,189
101505,1585,1065
101505,1,0
101505,1,0
101505,1,1
101505,3,2
101505,8,0
101505,1,1
101505,1,0
101505,1,0
101505,1,0
101505,2,1
101505,1,0
101505,1,0
101505,1,1
101505,1,0
101505,2,1
101505,1,1
101505,2,0
101505,3,1
101505,1,0
101505,1,1
101505,2,0
101505,1621,1075
101505,37,16
101505,1658,1091
101514,2041,1259
101514,2,1
101514,3,0
101514,6,4
101514,1,0
101514,2,1
101514,1,1
101514,1,1
101514,1,0
101514,21,13
101514,1,1
101514,2080,1281
101514,1,
101514,2081,1281
101541,59,56
101541,3,3
101541,2,2
101541,1,1
101541,1,1
101541,1,1
101541,67,64
101541,67,64
101569,686,455
101569,1,1
101569,1,1
101569,4,3
101569,1,0
101569,1,1
101569,1,1
101569,1,0
101569,1,1
101569,1,1
101569,1,0
101569,699,464
101569,699,464
101602,411,321
101602,19,15
101602,4,4
101602,1,1
101602,3,3
101602,26,22
101602,464,366
101602,464,366
101648,70,62
101648,2,2
101648,11,11
101648,3,3
101648,4,4
101648,29,27
101648,16,16
101648,1,1
101648,4,4
101648,2,2
101648,1,1
101648,4,4
101648,8,8
101648,3,3
101648,1,1
101648,3,2
101648,5,5
101648,1,1
101648,7,7
101648,6,6
101648,10,10
101648,2,2
101648,1,1
101648,1,1
101648,4,4
101648,1,1
101648,5,4
101648,1,1
101648,7,7
101648,19,19
101648,2,2
101648,10,10
101648,1,1
101648,1,1
101648,2,2
101648,1,1
101648,249,237
101648,249,237
101709,497,349
101709,1,1
101709,9,6
101709,8,5
101709,1,1
101709,1,1
101709,1,1
101709,1,1
101709,2,0
101709,1,1
101709,1,1
101709,1,1
101709,7,1
101709,531,369
101709,531,369
101736,778,576
101736,3,1
101736,15,12
101736,15,14
101736,811,603
101736,811,603
101879,822,786
101879,1,1
101879,1,1
101879,3,3
101879,1,1
101879,5,4
101879,5,5
101879,2,2
101879,1,1
101879,2,1
101879,1,1
101879,1,1
101879,2,2
101879,19,19
101879,1,1
101879,1,1
101879,1,1
101879,85,83
101879,3,3
101879,957,917
101879,13,
101879,970,917
101897,656,500
101897,7,5
101897,1,1
101897,664,506
101897,664,506
101949,429,297
101949,5,3
101949,1,1
101949,1,0
101949,33,23
101949,469,324
101949,469,324
102030,922,447
102030,4,3
102030,12,12
102030,1,0
102030,1,0
102030,10,4
102030,1,0
102030,1,0
102030,952,466
102030,13,0
102030,965,466
102067,1299,991
102067,1,0
102067,1,1
102067,1,1
102067,5,3
102067,6,4
102067,1,1
102067,1,1
102067,2,1
102067,5,4
102067,1,0
102067,1,1
102067,1,1
102067,2,2
102067,3,3
102067,9,5
102067,1339,1019
102067,11,1
102067,6,
102067,1356,1020
102076,707,553
102076,3,3
102076,1,1
102076,1,1
102076,1,1
102076,3,3
102076,716,562
102076,716,562
102094,1481,1383
102094,1,1
102094,1,1
102094,2,2
102094,2,2
102094,1,1
102094,1,1
102094,105,103
102094,26,26
102094,2,2
102094,5,5
102094,2,2
102094,11,11
102094,3,3
102094,2,2
102094,174,171
102094,1,1
102094,2,2
102094,2,2
102094,4,4
102094,1,1
102094,2,2
102094,2,2
102094,6,6
102094,11,11
102094,4,4
102094,1854,1751
102094,24,6
102094,1878,1757
102313,268,108
102313,2,0
102313,270,108
102313,270,108
102368,1535,109
102368,2,0
102368,1,0
102368,2,0
102368,1,0
102368,1,0
102368,180,9
102368,263,2
102368,2,0
102368,2,0
102368,1,0
102368,1,0
102368,5,0
102368,4,0
102368,1,0
102368,1,0
102368,12,1
102368,1,0
102368,1,0
102368,3,0
102368,9,0
102368,5,0
102368,2,0
102368,1,0
102368,14,0
102368,1,0
102368,10,0
102368,15,1
102368,2,0
102368,2,0
102368,4,1
102368,2084,123
102368,35,0
102368,2,
102368,2121,123
102377,217,208
102377,65,64
102377,1,1
102377,2,2
102377,17,17
102377,146,144
102377,37,37
102377,6,6
102377,2,2
102377,2,2
102377,14,14
102377,1,1
102377,15,15
102377,16,16
102377,7,7
102377,7,7
102377,1,1
102377,3,3
102377,8,8
102377,7,7
102377,7,7
102377,7,7
102377,3,3
102377,7,7
102377,8,8
102377,5,5
102377,20,18
102377,5,5
102377,2,2
102377,638,624
102377,1,1
102377,2,2
102377,3,3
102377,3,1
102377,15,
102377,659,628
102429,723,520
102429,1,0
102429,4,2
102429,1,1
102429,175,163
102429,904,686
102429,1,
102429,905,686
102553,3,3
102553,1856,1338
102553,3,3
102553,1,0
102553,12,10
102553,3,1
102553,3,1
102553,7,6
102553,3,2
102553,2,0
102553,1,0
102553,2,2
102553,2,1
102553,1,0
102553,2,0
102553,2,2
102553,1,1
102553,1,1
102553,2,1
102553,1,1
102553,2,2
102553,10,8
102553,1,1
102553,1,1
102553,5,3
102553,1,1
102553,3,3
102553,5,5
102553,1,1
102553,1,0
102553,1,1
102553,1939,1399
102553,1,1
102553,1,1
102553,25,15
102553,1965,1415
102614,890,677
102614,2,1
102614,6,4
102614,7,6
102614,1,1
102614,2,2
102614,3,2
102614,1,0
102614,2,2
102614,1,1
102614,1,1
102614,2,2
102614,1,0
102614,1,1
102614,1,1
102614,2,2
102614,3,2
102614,2,2
102614,1,0
102614,1,0
102614,1,1
102614,2,1
102614,1,1
102614,1,1
102614,2,1
102614,1,0
102614,4,3
102614,1,1
102614,2,1
102614,1,1
102614,1,0
102614,1,1
102614,19,18
102614,2,1
102614,1,0
102614,2,1
102614,972,739
102614,9,5
102614,981,744
102632,214,144
102632,2,1
102632,1,0
102632,1,1
102632,1,1
102632,1,1
102632,1,1
102632,1,0
102632,1,1
102632,1,1
102632,1,0
102632,2,1
102632,1,1
102632,228,153
102632,228,153
103361,8,3
103361,8,3
103361,8,3
103732,13,5
103732,13,5
103732,13,5
103741,65,20
103741,65,20
103741,65,20
103893,132,11
103893,132,11
103893,132,11
103909,100,2
103909,100,2
103909,100,2
103927,84,2
103927,84,2
103927,84,2
103963,160,32
103963,1,1
103963,1,0
103963,162,33
103963,162,33
104151,2,2
104151,20,20
104151,4165,3974
104151,1,1
104151,783,743
104151,116,105
104151,17,17
104151,5,4
104151,3,3
104151,17,15
104151,16,16
104151,14,14
104151,25,25
104151,153,145
104151,23,23
104151,19,18
104151,9,9
104151,1,1
104151,6,6
104151,6,6
104151,26,24
104151,26,22
104151,40,36
104151,69,66
104151,1,1
104151,18,17
104151,14,14
104151,9,9
104151,78,74
104151,10,10
104151,73,72
104151,45,43
104151,60,50
104151,30,26
104151,11,10
104151,38,34
104151,6,6
104151,43,41
104151,75,62
104151,2,2
104151,5,5
104151,3,3
104151,12,11
104151,105,90
104151,30,27
104151,3,3
104151,33,28
104151,110,107
104151,2,2
104151,50,50
104151,6,6
104151,6,5
104151,6440,6103
104151,2,2
104151,2,2
104151,729,388
104151,7171,6493
104179,6,6
104179,9,9
104179,4334,4187
104179,3,3
104179,1232,1214
104179,100,100
104179,22,20
104179,3,3
104179,3,2
104179,24,21
104179,18,17
104179,8,8
104179,21,21
104179,127,125
104179,9,9
104179,3,3
104179,10,10
104179,2,2
104179,3,3
104179,2,2
104179,30,27
104179,21,19
104179,21,19
104179,17,16
104179,19,19
104179,3,3
104179,7,6
104179,58,58
104179,2,2
104179,71,69
104179,33,33
104179,48,48
104179,5,5
104179,13,13
104179,6,6
104179,35,33
104179,38,38
104179,2,2
104179,2,2
104179,3,3
104179,5,4
104179,101,100
104179,12,11
104179,28,27
104179,144,141
104179,1,0
104179,16,13
104179,2,2
104179,193,124
104179,6875,6608
104179,1,0
104179,2,2
104179,3,2
104179,3,
104179,6881,6610
104346,3,2
104346,1193,448
104346,19,11
104346,5,4
104346,2,1
104346,2,2
104346,1,0
104346,1,1
104346,1,0
104346,1,0
104346,1,0
104346,1,1
104346,1,1
104346,2,1
104346,8,5
104346,2,0
104346,1,1
104346,2,0
104346,1,1
104346,3,2
104346,1,1
104346,2,1
104346,1,1
104346,5,4
104346,1,0
104346,2,2
104346,1262,490
104346,2,1
104346,2,1
104346,6,3
104346,1270,494
104364,79,18
104364,1,0
104364,80,18
104364,80,18
104425,773,567
104425,2,2
104425,1,1
104425,1,1
104425,1,1
104425,2,1
104425,7,7
104425,1,1
104425,1,1
104425,1,0
104425,1,0
104425,4,4
104425,1,1
104425,1,1
104425,797,588
104425,6,
104425,803,588
104434,29,12
104434,29,12
104434,29,12
104443,32,14
104443,32,14
104443,32,14
104577,4,3
104577,3,3
104577,1193,208
104577,7,7
104577,6,3
104577,1,0
104577,2,2
104577,7,4
104577,3,3
104577,5,3
104577,4,2
104577,1,1
104577,2,1
104577,1,1
104577,1,1
104577,5,3
104577,1,1
104577,8,5
104577,1,1
104577,1,1
104577,1,0
104577,1,0
104577,3,1
104577,3,2
104577,6,3
104577,4,3
104577,1274,262
104577,23,9
104577,1297,271
104586,2,1
104586,71,12
104586,2,0
104586,122,44
104586,25,3
104586,2,2
104586,2,1
104586,1,0
104586,12,6
104586,5,1
104586,5,1
104586,3,1
104586,2,0
104586,1,0
104586,2,0
104586,2,0
104586,2,0
104586,1,0
104586,4,1
104586,1,1
104586,3,2
104586,16,2
104586,1,0
104586,2,1
104586,7,1
104586,6,2
104586,13,2
104586,5,3
104586,1,1
104586,1,0
104586,2,0
104586,4,3
104586,41,13
104586,4,1
104586,1,1
104586,6,0
104586,31,5
104586,4,2
104586,415,113
104586,1,1
104586,1,1
104586,27,8
104586,5,
104586,448,122
104708,2,1
104708,3418,2268
104708,1,0
104708,15,7
104708,4,4
104708,1,0
104708,2,1
104708,5,2
104708,1,0
104708,1,0
104708,1,0
104708,1,0
104708,2,0
104708,2,0
104708,2,1
104708,1,0
104708,1,1
104708,7,3
104708,2,1
104708,1,0
104708,1,0
104708,1,0
104708,1,0
104708,1,1
104708,1,1
104708,1,0
104708,3,1
104708,1,1
104708,1,0
104708,5,4
104708,1,1
104708,3487,2298
104708,32,
104708,3519,2298
105145,1,0
105145,682,354
105145,1,1
105145,6,2
105145,2,2
105145,1,0
105145,1,0
105145,1,0
105145,3,2
105145,1,0
105145,1,1
105145,1,0
105145,2,1
105145,1,1
105145,1,0
105145,2,1
105145,1,1
105145,2,1
105145,3,1
105145,1,0
105145,3,3
105145,2,2
105145,719,373
105145,63,
105145,782,373
105154,1,0
105154,4,0
105154,3095,1850
105154,1,0
105154,39,13
105154,9,3
105154,7,4
105154,1,0
105154,6,2
105154,5,0
105154,20,15
105154,7,2
105154,3,3
105154,3,3
105154,2,1
105154,1,0
105154,4,1
105154,3,1
105154,8,4
105154,2,0
105154,1,1
105154,4,0
105154,7,5
105154,6,5
105154,9,1
105154,2,2
105154,7,2
105154,5,2
105154,2,2
105154,2,1
105154,2,1
105154,1,0
105154,18,10
105154,4,2
105154,1,0
105154,2,1
105154,14,9
105154,6,3
105154,3314,1949
105154,160,
105154,3474,1949
105163,58,18
105163,58,18
105163,58,18
105172,76,16
105172,76,16
105172,76,16
105206,943,235
105206,9,5
105206,17,8
105206,1,0
105206,10,1
105206,1,0
105206,981,249
105206,981,249
105297,184,31
105297,45,15
105297,2,2
105297,231,48
105297,1,0
105297,232,48
105330,1,1
105330,45,43
105330,2782,2677
105330,1268,1251
105330,80,78
105330,1,1
105330,1,1
105330,3,3
105330,1,1
105330,86,83
105330,21,19
105330,21,21
105330,3,1
105330,1,1
105330,2,2
105330,1,1
105330,2,1
105330,2,2
105330,3,3
105330,2,2
105330,6,6
105330,1,1
105330,3,2
105330,4,4
105330,1,1
105330,81,78
105330,3,3
105330,1,1
105330,28,28
105330,7,6
105330,1,1
105330,5,5
105330,34,34
105330,4,3
105330,2,2
105330,1,1
105330,23,23
105330,8,8
105330,3,2
105330,67,65
105330,2,2
105330,1,1
105330,11,10
105330,4623,4479
105330,1,0
105330,1,0
105330,46,14
105330,58,
105330,4728,4493
105349,180,16
105349,1,0
105349,181,16
105349,181,16
105428,11,0
105428,1,0
105428,1463,767
105428,5,0
105428,20,7
105428,22,0
105428,4,0
105428,4,0
105428,9,5
105428,47,1
105428,5,3
105428,6,0
105428,17,5
105428,6,0
105428,4,0
105428,3,1
105428,1,0
105428,2,0
105428,1,0
105428,1,0
105428,16,4
105428,4,2
105428,3,0
105428,5,3
105428,2,1
105428,4,0
105428,3,2
105428,6,1
105428,2,2
105428,3,1
105428,3,1
105428,1,1
105428,3,0
105428,14,8
105428,1,1
105428,2,1
105428,4,3
105428,1,0
105428,1709,820
105428,77,
105428,1786,820
105516,44,4
105516,44,4
105516,44,4
105525,3,1
105525,5024,2642
105525,35,7
105525,9,5
105525,2,0
105525,1,0
105525,1,0
105525,4,2
105525,3,0
105525,1,0
105525,1,1
105525,10,4
105525,1,0
105525,1,0
105525,2,0
105525,2,0
105525,1,1
105525,4,2
105525,2,0
105525,2,1
105525,5,5
105525,1,0
105525,6,1
105525,8,5
105525,2,0
105525,1,0
105525,3,0
105525,4,3
105525,4,4
105525,1,0
105525,13,3
105525,1,0
105525,1,0
105525,8,4
105525,1,1
105525,96,29
105525,5264,2721
105525,5264,2721
105659,2,0
105659,194,19
105659,1,0
105659,1,0
105659,2,0
105659,1,0
105659,201,19
105659,201,19
105668,31,1
105668,460,120
105668,11,1
105668,6,0
105668,2,1
105668,1,0
105668,7,0
105668,2,1
105668,1,0
105668,1,1
105668,11,0
105668,2,0
105668,1,0
105668,1,0
105668,1,0
105668,1,0
105668,12,0
105668,1,1
105668,1,0
105668,3,0
105668,3,0
105668,4,0
105668,2,0
105668,5,1
105668,1,0
105668,571,127
105668,1,
105668,572,127
105747,1,0
105747,4,4
105747,1210,886
105747,15,8
105747,17,8
105747,1,0
105747,4,2
105747,7,1
105747,4,4
105747,4,2
105747,8,3
105747,2,0
105747,1,1
105747,3,2
105747,2,2
105747,2,1
105747,5,3
105747,4,4
105747,3,2
105747,2,2
105747,8,5
105747,3,2
105747,3,3
105747,4,0
105747,1,1
105747,1,1
105747,5,5
105747,1,0
105747,1,1
105747,2,1
105747,1,0
105747,3,3
105747,5,4
105747,3,2
105747,5,5
105747,4,1
105747,1349,969
105747,17,
105747,1366,969
105792,749,464
105792,1,0
105792,8,4
105792,3,0
105792,1,0
105792,1,1
105792,6,0
105792,4,0
105792,1,0
105792,1,0
105792,1,1
105792,2,0
105792,2,0
105792,1,0
105792,1,1
105792,2,1
105792,1,0
105792,1,0
105792,2,1
105792,2,2
105792,790,475
105792,1,0
105792,1,0
105792,73,
105792,864,475
105899,3,3
105899,62,62
105899,1,1
105899,9,9
105899,3,3
105899,1,1
105899,1,1
105899,1,1
105899,1,1
105899,1,1
105899,1,1
105899,1,1
105899,3,3
105899,1,1
105899,1,1
105899,90,90
105899,90,90
106102,2,0
106102,2,0
106102,2,0
106111,44,15
106111,44,15
106111,44,15
106245,585,542
106245,1,1
106245,1,1
106245,1,1
106245,2,2
106245,2,2
106245,2,2
106245,1,1
106245,3,3
106245,1,1
106245,1,1
106245,1,1
106245,2,2
106245,5,5
106245,4,4
106245,2,2
106245,16,16
106245,3,3
106245,1,1
106245,634,591
106245,33,17
106245,667,608
106397,3,3
106397,2,2
106397,2192,2164
106397,18,18
106397,7,7
106397,2,2
106397,1,1
106397,1,1
106397,18,18
106397,9,8
106397,1,1
106397,23,23
106397,1,1
106397,1,1
106397,154,154
106397,2,2
106397,29,28
106397,1,1
106397,1,0
106397,3,3
106397,1,1
106397,4,4
106397,7,7
106397,353,351
106397,1,1
106397,1,1
106397,2,1
106397,3,3
106397,2,2
106397,3,3
106397,206,204
106397,3,3
106397,2,2
106397,106,106
106397,1099,1096
106397,1,1
106397,1,1
106397,6,6
106397,5,5
106397,1,1
106397,5,5
106397,1,1
106397,4282,4243
106397,57,38
106397,4339,4281
106412,3,3
106412,337,301
106412,20,19
106412,1,1
106412,1,1
106412,1,0
106412,11,11
106412,36,36
106412,7,7
106412,2,2
106412,9,9
106412,5,5
106412,14,14
106412,1,1
106412,4,3
106412,1,1
106412,8,8
106412,1,1
106412,76,74
106412,24,22
106412,2,2
106412,564,521
106412,4,2
106412,568,523
106458,5,5
106458,1,1
106458,1410,1361
106458,5,5
106458,1,1
106458,3,3
106458,3,3
106458,9,8
106458,2,2
106458,1,1
106458,1,1
106458,1,1
106458,1,1
106458,4,4
106458,58,53
106458,1,1
106458,1,1
106458,1,1
106458,1,1
106458,33,32
106458,21,20
106458,1,1
106458,1,1
106458,1565,1508
106458,54,18
106458,1619,1526
106467,1665,1407
106467,3,2
106467,2,0
106467,2,2
106467,7,7
106467,3,2
106467,2,2
106467,1,0
106467,1,1
106467,14,13
106467,1,1
106467,38,38
106467,1739,1475
106467,16,6
106467,1755,1481
106485,1,1
106485,620,472
106485,2,2
106485,2,0
106485,1,1
106485,20,19
106485,4,3
106485,1,1
106485,1,0
106485,1,1
106485,1,1
106485,3,3
106485,20,20
106485,1,1
106485,678,525
106485,1,0
106485,679,525
106704,2,1
106704,1994,1910
106704,5,5
106704,3,0
106704,1,1
106704,2,2
106704,1,1
106704,2,2
106704,7,7
106704,1,1
106704,1,0
106704,6,6
106704,9,8
106704,2,2
106704,1,1
106704,1,1
106704,1,1
106704,1,1
106704,1,0
106704,14,12
106704,1,1
106704,12,11
106704,86,86
106704,2,2
106704,2156,2062
106704,45,17
106704,1,
106704,2202,2079
106980,544,288
106980,1,1
106980,545,289
106980,545,289
107071,597,569
107071,1,1
107071,1,1
107071,1,1
107071,1,1
107071,4,4
107071,2,2
107071,1,1
107071,1,1
107071,4,4
107071,2,1
107071,81,80
107071,696,666
107071,8,2
107071,704,668
107327,225,157
107327,1,0
107327,57,46
107327,283,203
107327,283,203
107460,1,0
107460,464,340
107460,1,0
107460,1,0
107460,11,8
107460,2,0
107460,480,348
107460,4,2
107460,484,350
107512,1,1
107512,255,251
107512,1,1
107512,1,1
107512,3,3
107512,5,5
107512,3,3
107512,4,4
107512,1,1
107512,1,1
107512,1,1
107512,3,3
107512,1,1
107512,4,4
107512,106,105
107512,1,1
107512,391,386
107512,2,0
107512,393,386
107521,146,88
107521,146,88
107521,1,
107521,147,88
107585,563,446
107585,1,1
107585,1,1
107585,1,1
107585,1,1
107585,1,0
107585,568,450
107585,18,12
107585,586,462
107992,213,140
107992,1,1
107992,1,1
107992,1,0
107992,1,1
107992,1,1
107992,218,144
107992,218,144
108092,1169,973
108092,1,1
108092,1,1
108092,3,3
108092,5,5
108092,2,2
108092,122,105
108092,1,1
108092,25,20
108092,1329,1111
108092,14,12
108092,1343,1123
108232,6,1
108232,4,3
108232,9,4
108232,1,0
108232,411,262
108232,19,15
108232,10,7
108232,2,0
108232,19,9
108232,19,6
108232,12,8
108232,4,2
108232,16,9
108232,7,4
108232,2,1
108232,2,1
108232,4,3
108232,3,1
108232,11,4
108232,6,4
108232,3,1
108232,5,4
108232,1,0
108232,4,3
108232,4,2
108232,9,4
108232,1,1
108232,15,10
108232,3,2
108232,26,15
108232,14,6
108232,17,8
108232,4,1
108232,10,5
108232,16,5
108232,3,2
108232,3,2
108232,3,0
108232,9,5
108232,38,22
108232,2,1
108232,9,1
108232,14,7
108232,2,1
108232,16,4
108232,798,456
108232,225,76
108232,4,
108232,1027,532
108250,45,14
108250,45,14
108250,45,14
108667,775,287
108667,69,18
108667,844,305
108667,71,1
108667,915,306
108807,1,1
108807,1654,1114
108807,1,1
108807,4,4
108807,1,0
108807,2,0
108807,3,3
108807,1,0
108807,2,2
108807,3,3
108807,3,1
108807,3,1
108807,5,3
108807,4,3
108807,1,0
108807,2,1
108807,1690,1137
108807,10,3
108807,1700,1140
108852,3,1
108852,2,1
108852,27,9
108852,2,0
108852,1,1
108852,2,1
108852,1,0
108852,2,0
108852,1,0
108852,2,1
108852,1,1
108852,1,0
108852,3,2
108852,2,2
108852,1,0
108852,2,1
108852,2,1
108852,1,0
108852,1,1
108852,1,0
108852,2,1
108852,1,1
108852,2,0
108852,3,1
108852,2,0
108852,2,0
108852,1,0
108852,10,4
108852,2,0
108852,5,3
108852,1,0
108852,12,5
108852,101,37
108852,33,
108852,134,37
108977,12,11
108977,12,11
108977,4,
108977,16,11
109208,3761,1941
109208,80,11
109208,3841,1952
109208,52,4
109208,3893,1956
109785,2,2
109785,16,16
109785,924,911
109785,32,32
109785,1,1
109785,1,1
109785,17,17
109785,3,3
109785,14,14
109785,1,1
109785,2,1
109785,11,11
109785,1,1
109785,4,3
109785,1,1
109785,11,11
109785,1,1
109785,2,2
109785,3,3
109785,12,12
109785,1,1
109785,1,1
109785,2,2
109785,2,2
109785,1,1
109785,2,2
109785,35,35
109785,2,2
109785,1,1
109785,1,1
109785,10,10
109785,1,1
109785,4,4
109785,65,65
109785,1,1
109785,1,1
109785,1189,1174
109785,36,
109785,1225,1174
109819,3071,2133
109819,39,14
109819,3110,2147
109819,8,2
109819,3118,2149
109907,1,0
109907,567,209
109907,1,0
109907,1,0
109907,1,0
109907,2,0
109907,1,1
109907,9,8
109907,1,1
109907,1,0
109907,1,0
109907,586,219
109907,586,219
109934,27,13
109934,27,13
109934,27,13
110097,2,0
110097,20,17
110097,670,607
110097,16,10
110097,2,1
110097,2,2
110097,1,1
110097,3,3
110097,7,6
110097,4,4
110097,15,11
110097,5,5
110097,2,1
110097,1,1
110097,1,1
110097,1,1
110097,1,1
110097,1,1
110097,3,3
110097,8,6
110097,3,1
110097,8,8
110097,2,2
110097,3,2
110097,2,1
110097,3,2
110097,2,1
110097,1,0
110097,24,21
110097,2,2
110097,1,0
110097,3,2
110097,16,14
110097,4,3
110097,51,44
110097,1,1
110097,891,786
110097,1,1
110097,1,1
110097,2,2
110097,1,1
110097,9,
110097,903,789
110185,2,1
110185,2,1
110185,50,28
110185,1,1
110185,2,1
110185,1,0
110185,1,0
110185,1,0
110185,1,1
110185,2,2
110185,1,0
110185,1,0
110185,3,1
110185,2,2
110185,1,0
110185,1,1
110185,5,3
110185,1,1
110185,1,1
110185,79,44
110185,2,1
110185,81,45
110246,1882,1208
110246,63,4
110246,1945,1212
110246,77,1
110246,2022,1213
110334,1888,1100
110334,87,23
110334,1975,1123
110334,27,1
110334,2002,1124
110361,11,9
110361,911,872
110361,3,3
110361,1,1
110361,5,4
110361,2,2
110361,2,2
110361,1,1
110361,1,1
110361,1,1
110361,1,1
110361,1,1
110361,3,3
110361,1,0
110361,2,2
110361,5,5
110361,7,4
